artist_name,track_name,genre_name
free,all right now,Country
tim mcgraw,indian outlaw,Country
john denver,"take me home, country roads",Country
kip moore,damn love,Country
luke bryan,"sunrise, sunburn, sunset",Country
jordan davis,a little lime,Country
whiskey myers,bury my bones,Country
jon pardi,tequila little time,Country
jason aldean,fly over states,Country
parker mccollum,pretty heart,Country
brett young,catch,Country
brett young,lady,Country
alabama,i'm in a hurry (and don't know why),Country
dylan schneider,ain't missin' you,Country
sam hunt,start nowhere,Country
sturgill simpson,sam,Country
parker mccollum,i can't breathe,Country
luke combs,fox in the henhouse,Country
hardy,truck,Country
tyler childers,house fire,Country
chris stapleton,devil always made me think twice,Country
morgan wallen,days that end in why,Country
steely dan,dirty work,Country
little big town,better man,Country
lady a,bartender,Country
miranda lambert,if i was a cowboy,Country
zach bryan,poems and closing time,Country
cam,burning house,Country
george strait,blue clear sky,Country
zach bryan,late july,Country
sam hunt,kinfolks,Country
logan mize,grew apart,Country
eli young band,love ain't,Country
sam hunt,hard to forget,Country
cody johnson,dear rodeo,Country
brooks & dunn,neon moon - with kacey musgraves,Country
steely dan,do it again,Country
florida georgia line,get your shine on,Country
ella langley,damn you,Country
justin moore,why we drink,Country
spencer crandall,girls like you,Country
florida georgia line,sun daze,Country
zac brown band,loving you easy,Country
brad paisley,she's everything,Country
toby keith,should've been a cowboy,Country
florida georgia line,long live,Country
jelly roll,creature,Country
brantley gilbert,bottoms up - remix,Country
old dominion,make it sweet,Country
the doobie brothers,what a fool believes,Country
chris stapleton,a simple song,Country
randall king,you in a honky tonk,Country
cody johnson,nothin' on you,Country
whiskey myers,ballad of a southern man,Country
zach bryan,starved,Country
the marshall tucker band,can't you see,Country
jason aldean,amarillo sky,Country
darius rucker,beers and sunshine,Country
joe nichols,brokenheartsville,Country
blake shelton,god gave me you,Country
randy travis,three wooden crosses,Country
eddie money,take me home tonight,Country
rodney atkins,if you're going through hell (before the devil even knows),Country
nate smith,world on fire,Country
miranda lambert,kerosene,Country
tyler childers,whitehouse road (ourvinyl sessions),Country
alan jackson,little bitty,Country
thomas rhett,t-shirt,Country
jimmie allen,best shot,Country
atlus,oh no!,Country
brad paisley,i'm gonna miss her,Country
carrie underwood,cowboy casanova,Country
johnny cash,god's gonna cut you down,Country
eric church,round here buzz,Country
jameson rodgers,cold beer calling my name,Country
trace adkins,you're gonna miss this,Country
jo dee messina,bye-bye,Country
"hank williams, jr.",whiskey bent and hell bound,Country
jim croce,time in a bottle,Country
josh turner,hometown girl,Country
luke bryan,light it up,Country
jon pardi,last night lonely,Country
luke bryan,one margarita,Country
old dominion,no such thing as a broken heart,Country
zach bryan,she's alright,Country
zach bryan,highway boys,Country
dierks bentley,free and easy (down the road i go),Country
zach bryan,twenty so,Country
brothers osborne,it ain't my fault,Country
david allan coe,the ride,Country
parker mccollum,to be loved by you,Country
sam hunt,take your time,Country
chris stapleton,cold,Country
sam hunt,breaking up was easy in the 90's,Country
lee brice,boy,Country
wyatt flores,losing sleep,Country
rodney atkins,caught up in the country,Country
colter wall,motorcycle,Country
riley green,georgia time,Country
bryan martin,more than the shine,Country
jelly roll,same asshole,Country
alan jackson,drive (for daddy gene),Country
chayce beckham,keeping me up all night,Country
lady a,what if i never get over you,Country
alan jackson,good time,Country
lady a,need you now,Country
kacey musgraves,golden hour,Country
luke combs,what you see is what you get,Country
lauren alaina,road less traveled,Country
kane brown,one mississippi,Country
willie nelson,roll me up and smoke me when i die - live,Country
riley green,raised up right,Country
luke bryan,knockin' boots,Country
billy currington,we are tonight,Country
kane brown,lose it,Country
blanco brown,the git up,Country
brett eldredge,drunk on your love,Country
trace adkins,honky tonk badonkadonk,Country
alan jackson,it's five o'clock somewhere (with jimmy buffett),Country
jo dee messina,i'm alright,Country
old dominion,song for another time,Country
morgan wallen,country a$$ shit,Country
jason aldean,night train,Country
morgan wallen,7 summers,Country
luke combs,"going, going, gone - acoustic",Country
sara evans,a little bit stronger,Country
zach bryan,hell or highwater - live,Country
walker hayes,aa,Country
florida georgia line,talk you out of it,Country
george strait,it just comes natural,Country
gary allan,right where i need to be,Country
zach bryan,come as you are,Country
zach bryan,jamie (feat. charles wesley godwin),Country
jim croce,"bad, bad leroy brown",Country
eric church,like a wrecking ball,Country
keith anderson,pickin' wildflowers,Country
trace adkins,every light in the house,Country
the band,the weight - remastered 2000,Country
jason aldean,girl like you,Country
kelsea ballerini,heartfirst,Country
luke bryan,most people are good,Country
the lovin' spoonful,do you believe in magic?,Country
bailey zimmerman,change,Country
koe wetzel,creeps,Country
billy currington,let me down easy,Country
clay walker,she won't be lonely long,Country
38 special,hold on loosely,Country
morgan wallen,quittin’ time,Country
jon pardi,up all night,Country
tim mcgraw,7500 obo,Country
morgan wallen,not good at not,Country
hardy,one beer (feat. lauren alaina & devin dawson),Country
creedence clearwater revival,proud mary,Country
brett eldredge,don't ya,Country
morgan wallen,whiskey’d my way,Country
zach bryan,cold damn vampires,Country
warren zeiders,up to no good,Country
zac brown band,keep me in mind,Country
toby keith,i wanna talk about me,Country
thomas rhett,life changes,Country
faith hill,breathe,Country
zach bryan,open the gate,Country
matt mason,where i've been,Country
chase matthew,pull up,Country
chris young,think of you,Country
trisha yearwood,xxx's and ooo's (an american girl),Country
derek & the dominos,layla,Country
luke combs,nothing like you,Country
thomas rhett,craving you,Country
dylan scott,hooked,Country
brantley gilbert,the weekend,Country
jameson rodgers,cold beer calling my name,Country
waylon jennings,"luckenbach, texas (back to the basics of love) (feat. willie nelson)",Country
luke bryan,crash my party,Country
kelsea ballerini,interlude,Country
parker mccollum,young man's blues,Country
old dominion,i was on a boat that day,Country
keith urban,long hot summer,Country
uncle kracker,smile,Country
john denver,rocky mountain high,Country
megan moroney,lucky,Country
clint black,killin' time,Country
colt ford,workin' on,Country
gary allan,watching airplanes,Country
blake shelton,happy anywhere (feat. gwen stefani),Country
luke combs,blue collar boys,Country
hardy,sold out,Country
carrie underwood,"jesus, take the wheel",Country
morgan wallen,little rain,Country
alana springsteen,you don't deserve a country song,Country
blake shelton,sangria,Country
chris janson,good vibes,Country
jason aldean,you make it easy,Country
luke combs,call me,Country
cody johnson,ain't nothin' to it,Country
mitchell tenpenny,truth about you,Country
lainey wilson,smell like smoke,Country
luke bryan,but i got a beer in my hand,Country
montgomery gentry,something to be proud of,Country
the chicks,travelin' soldier,Country
travis tritt,here's a quarter (call someone who cares),Country
sam barber,run away high,Country
scotty mccreery,this is it,Country
creedence clearwater revival,lookin' out my back door,Country
brantley gilbert,rolex® on a redneck,Country
miranda lambert,automatic,Country
muscadine bloodline,porch swing angel,Country
luke combs,refrigerator door,Country
parker mccollum,stoned,Country
keith urban,the fighter,Country
miranda lambert,if i was a cowboy,Country
faces,ooh la la,Country
morgan wallen,i wrote the book,Country
maren morris,the bones - with hozier,Country
craig morgan,international harvester,Country
jason aldean,don't you wanna stay (with kelly clarkson),Country
bailey zimmerman,never leave,Country
dierks bentley,living,Country
restless road,sundown somewhere,Country
tyler childers,hard times,Country
chris young,you,Country
jason aldean,any ol' barstool,Country
kane brown,like i love country music,Country
chayce beckham,23 - steel mix,Country
dustin lynch,where it's at,Country
clay walker,if i could make a living,Country
the judds,why not me,Country
hardy,jack,Country
danielle bradbery,stop draggin' your boots,Country
matt schuster,vienna,Country
toby keith,i love this bar,Country
lee brice,memory i don't mess with,Country
florida georgia line,stay,Country
florida georgia line,"god, your mama, and me",Country
little river band,reminiscing - remastered 2022,Country
kenny chesney,somewhere with you,Country
dan + shay,"10,000 hours (with justin bieber)",Country
cody jinks,mamma song,Country
colt ford,slow ride,Country
chris stapleton,nobody to blame,Country
cole swindell,single saturday night,Country
luke combs,any given friday night,Country
whiskey myers,lonely east texas nights,Country
jason aldean,drowns the whiskey (feat. miranda lambert),Country
justin champagne,when i pull up,Country
muscadine bloodline,pieces,Country
morgan evans,kiss somebody,Country
tanner usrey,take me home,Country
blake shelton,some beach,Country
dierks bentley,gold,Country
jon pardi,cowboy hat,Country
colter wall,caroline,Country
dolly parton,islands in the stream,Country
the bellamy brothers,let your love flow,Country
jordan davis,damn good time,Country
dierks bentley,i hold on,Country
zach bryan,heading south,Country
cody johnson,stronger,Country
zach bryan,something in the orange,Country
zach bryan,dawns,Country
ryan bingham,southside of heaven,Country
zach bryan,something in the orange,Country
warren zeiders,dark night - 717 tapes,Country
zach bryan,something in the orange,Country
zach bryan,something in the orange,Country
zach bryan,something in the orange,Country
zach bryan,something in the orange,Country
zach bryan,something in the orange,Country
zach bryan,the greatest day of my life,Country
kenny chesney,save it for a rainy day,Country
zach bryan,dawns,Country
zach bryan,something in the orange (z&e’s version),Country
zach bryan,something in the orange,Country
zach bryan,something in the orange,Country
zach bryan,something in the orange (z&e’s version),Country
zach bryan,dawns,Country
zach bryan,something in the orange,Country
zach bryan,something in the orange,Country
zach bryan,something in the orange,Country
zach bryan,dawns,Country
zach bryan,something in the orange,Country
zach bryan,something in the orange,Country
chris stapleton,starting over,Country
zach bryan,something in the orange,Country
zach bryan,dawns,Country
zach bryan,something in the orange,Country
zach bryan,something in the orange,Country
zach bryan,something in the orange,Country
zach bryan,dawns,Country
zach bryan,dawns,Country
zach bryan,something in the orange,Country
zach bryan,something in the orange,Country
zach bryan,dawns,Country
gretchen wilson,here for the party,Country
john anderson,straight tequila night,Country
dan + shay,glad you exist,Country
karol g,tqg,Latin
bad bunny,me porto bonito,Latin
bad bunny,tití me preguntó,Latin
becky g,chanel,Latin
bizarrap,"shakira: bzrp music sessions, vol. 53",Latin
bad bunny,efecto,Latin
eladio carrion,coco chanel,Latin
bad bunny,ojitos lindos,Latin
ñengo flow,gato de noche,Latin
feid,classy 101,Latin
yandel,yandel 150,Latin
bad bunny,moscow mule,Latin
j balvin,la canción,Latin
bizarrap,"quevedo: bzrp music sessions, vol. 52",Latin
ozuna,hey mor,Latin
bad bunny,neverita,Latin
manuel turizo,la bachata,Latin
nelly furtado,promiscuous,Latin
anuel aa,mas rica que ayer,Latin
bad bunny,party,Latin
arcángel,la jumpa,Latin
feid,chorrito pa las animas,Latin
arcángel,la jumpa,Latin
jhayco,no me conoce - remix,Latin
cartel de santa,shorty party,Latin
bad bunny,yonaguni,Latin
don omar,dile,Latin
shakira,hips don't lie (feat. wyclef jean),Latin
karol g,provenza,Latin
bad bunny,tarot,Latin
yandel,yandel 150,Latin
karol g,x si volvemos,Latin
karol g,mañana será bonito,Latin
karol g,x si volvemos,Latin
daddy yankee,gasolina,Latin
wisin & yandel,besos moja2,Latin
karol g,tus gafitas,Latin
kodak black,no flockin',Latin
feid,remix exclusivo,Latin
farruko,pepas,Latin
bad bunny,dákiti,Latin
rauw alejandro,lokera,Latin
ovy on the drums,el hechizo,Latin
plan b,es un secreto,Latin
bad bunny,la corriente,Latin
karol g,amargura,Latin
tego calderón,pa' que retozen,Latin
feid,feliz cumpleaños ferxxo,Latin
manu chao,me gustas tu,Latin
bad bunny,la santa,Latin
tainy,lo siento bb:/ (with bad bunny & julieta venegas),Latin
nelly furtado,maneater,Latin
karol g,provenza,Latin
karol g,gucci los paños,Latin
karol g,besties,Latin
feid,chimbita,Latin
bad bunny,un coco,Latin
young miko,lisa,Latin
bad bunny,un ratito,Latin
rauw alejandro,lokera,Latin
daddy yankee,"lo que pasó, pasó",Latin
becky g,mamiii,Latin
bad bunny,otro atardecer,Latin
karol g,cairo,Latin
bad bunny,si veo a tu mamá,Latin
romeo santos,eres mía,Latin
karol g,pero tú,Latin
ozuna,hey mor,Latin
becky g,mamiii,Latin
prince royce,corazón sin cara,Latin
bad bunny,mia,Latin
rauw alejandro,panties y brasieres,Latin
becky g,shower,Latin
rauw alejandro,desesperados,Latin
aventura,volví,Latin
bad bunny,la noche de anoche,Latin
karol g,"ay, dios mío!",Latin
karol g,el makinon,Latin
karol g,pineapple,Latin
karol g,tqg,Latin
karol g,ojos ferrari,Latin
karol g,provenza,Latin
karol g,odisea,Latin
karol g,el makinon,Latin
karol g,tqg,Latin
karol g,bichota,Latin
karol g,tusa,Latin
bad bunny,te mudaste,Latin
shakira,monotonía,Latin
kodak black,transportin',Latin
karol g,gatúbela,Latin
feid,normal,Latin
mora,la inocente,Latin
kodak black,super gremlin,Latin
jhayco,cómo se siente - remix,Latin
zion & lennox,yo voy (feat. daddy yankee),Latin
bizarrap,"arcángel: bzrp music sessions, vol. 54",Latin
bad bunny,andrea,Latin
bad bunny,dákiti,Latin
romeo santos,imitadora,Latin
rauw alejandro,ron cola,Latin
jhayco,cuerpecito,Latin
romeo santos,propuesta indecente,Latin
j balvin,que pretendes,Latin
shakira,te felicito,Latin
jay wheeler,la curiosidad,Latin
baby bash,suga suga,Latin
karol g,cairo,Latin
anuel aa,hasta que dios diga,Latin
rauw alejandro,punto 40,Latin
plan b,si no le contesto,Latin
bad bunny,safaera,Latin
rauw alejandro,punto 40,Latin
nelly furtado,say it right,Latin
anuel aa,amanece,Latin
plan b,candy,Latin
bad bunny,dos mil 16,Latin
bad bunny,diles,Latin
manuel turizo,la bachata,Latin
bad bunny,callaita,Latin
bad bunny,si estuviésemos juntos,Latin
kodak black,love & war,Latin
bad bunny,yo no soy celoso,Latin
bad bunny,la romana,Latin
maluma,"diablo, qué chimba",Latin
aventura,obsesion,Latin
quevedo,wanda,Latin
aventura,ella y yo - featuring don omar,Latin
daddy yankee,tu príncipe,Latin
kodak black,zeze (feat. travis scott & offset),Latin
kodak black,roll in peace (feat. xxxtentacion),Latin
rauw alejandro,de carolina,Latin
nio garcia,te boté - remix,Latin
kodak black,super gremlin,Latin
karol g,gatúbela,Latin
bad bunny,yo perreo sola,Latin
bad bunny,agosto,Latin
rauw alejandro,todo de ti,Latin
feid,niña bonita,Latin
chris jedi,la llevo al cielo (ft. ñengo flow),Latin
bad bunny,la difícil,Latin
aventura,dile al amor,Latin
becky g,arranca (feat. omega),Latin
bad bunny,el apagón,Latin
myke towers,aguardiente,Latin
bad bunny,enséñame a bailar,Latin
karol g,kármika,Latin
bad bunny,callaita,Latin
ozuna,se preparó,Latin
kenia os,malas decisiones,Latin
prince royce,rechazame,Latin
luis miguel,ahora te puedes marchar,Latin
maná,oye mi amor,Latin
bad bunny,aguacero,Latin
romeo santos,odio (feat. drake),Latin
rvssian,nostálgico,Latin
bad bunny,a tu merced,Latin
ozuna,dile que tu me quieres,Latin
anuel aa,ella quiere beber - remix,Latin
shakira,she wolf,Latin
daddy yankee,la hora y el día,Latin
bad bunny,vete,Latin
bad bunny,vete,Latin
eladio carrion,triste verano,Latin
karol g,sejodioto,Latin
aventura,un beso,Latin
tini,cupido,Latin
don omar,salió el sol,Latin
karol g,tqg,Latin
danileigh,easy,Latin
bad bunny,una vez,Latin
los enanitos verdes,lamento boliviano,Latin
ivy queen,quiero bailar,Latin
jhayco,en la de ella,Latin
yuridia,qué agonía,Latin
shakira,"whenever, wherever",Latin
daddy yankee,definitivamente,Latin
daddy yankee,gasolina - live,Latin
daddy yankee,rompe,Latin
daddy yankee,dura,Latin
daddy yankee,tu principe - live,Latin
daddy yankee,lovumba,Latin
daddy yankee,tu principe - live,Latin
el alfa,4k,Latin
daddy yankee,si supieras,Latin
daddy yankee,sígueme y te sigo,Latin
daddy yankee,vaivén,Latin
daddy yankee,x última vez,Latin
daddy yankee,x última vez,Latin
rauw alejandro,cúrame,Latin
tainy,adicto (with anuel aa & ozuna),Latin
cosculluela,madura,Latin
rauw alejandro,desesperados,Latin
bia,i'm that bitch,Latin
karol g,mercurio,Latin
daddy yankee,rompe,Latin
maluma,la fórmula,Latin
lou bega,mambo no. 5 (a little bit of...),Latin
daddy yankee,x última vez,Latin
myke towers,ulala (ooh la la),Latin
luis fonsi,despacito,Latin
bad bunny,soy peor,Latin
bad bunny,la zona,Latin
karol g,el makinon,Latin
maluma,hawái,Latin
wisin,mi exxx,Latin
mau y ricky,llorar y llorar - con carin leon,Latin
marc anthony,vivir mi vida,Latin
quevedo,playa del inglés,Latin
quevedo,playa del inglés,Latin
quevedo,playa del inglés,Latin
quevedo,playa del inglés,Latin
bad bunny,bichiyal,Latin
young miko,riri,Latin
bad bunny,otra noche en miami,Latin
karol g,carolina,Latin
karol g,dañamos la amistad,Latin
romeo santos,sobredosis (feat. ozuna),Latin
daddy yankee,ella me levanto,Latin
daddy yankee,con calma,Latin
lunay,soltera - remix,Latin
feid,normal,Latin
feid,feliz cumpleaños ferxxo,Latin
quevedo,punto g,Latin
rauw alejandro,dejau',Latin
j balvin,si tu novio te deja sola,Latin
j balvin,no es justo,Latin
j balvin,mi gente,Latin
j balvin,sigo extrañándote,Latin
j balvin,la canción,Latin
j balvin,un dia (one day),Latin
j balvin,no es justo,Latin
j balvin,yo te lo dije,Latin
j balvin,poblado - remix,Latin
j balvin,machika,Latin
j balvin,la canción,Latin
j balvin,una nota,Latin
j balvin,no es justo,Latin
el alfa,la mamá de la mamá,Latin
j balvin,bobo,Latin
j balvin,una nota,Latin
j balvin,in da getto,Latin
j balvin,la canción,Latin
j balvin,otra noche sin ti,Latin
j balvin,tranquila,Latin
j balvin,la canción,Latin
bad bunny,me fui de vacaciones,Latin
brray,corazón roto - remix,Latin
daddy yankee,vuelve,Latin
romeo santos,necio (feat. carlos santana),Latin
ozuna,solita,Latin
quevedo,punto g,Latin
danny ocean,me rehúso,Latin
rauw alejandro,todo de ti,Latin
kodak black,calling my spirit,Latin
jhayco,mami chula,Latin
becky g,mayores,Latin
feid,prohibidox,Latin
anuel aa,secreto,Latin
natalia lafourcade,hasta la raíz,Latin
los retros,someone to spend time with,Latin
eladio carrion,gucci fendi,Latin
eladio carrion,gucci fendi,Latin
yuridia,qué agonía,Latin
south park mexican,mexican radio,Latin
tokischa,delincuente,Latin
prince royce,darte un beso,Latin
rauw alejandro,tamo en nota,Latin
la oreja de van gogh,rosas,Latin
feid,ferxxo 100,Latin
enrique iglesias,bailando - spanish version,Latin
myke towers,mi droga,Latin
aventura,mi corazoncito,Latin
j balvin,un peso,Latin
hombres g,devuélveme a mi chica,Latin
romeo santos,promise (feat. usher),Latin
hozwal,big booty,Latin
wisin & yandel,rakata,Latin
karol g,tusa,Latin
camila,todo cambió,Latin
eladio carrion,el hokage,Latin
aventura,el perdedor,Latin
south park mexican,i must be high,Latin
eladio carrion,mbappe,Latin
aventura,el malo,Latin
alejo,pantysito,Latin
shakira,waka waka (this time for africa) [the official 2010 fifa world cup (tm) song] (feat. freshlyground),Latin
plan b,fanática sensual,Latin
mora,volando - remix,Latin
karol g,el barco,Latin
j balvin,mi gente,Latin
enrique iglesias,cuando me enamoro,Latin
ozuna,baila baila baila - remix,Latin
bad bunny,booker t,Latin
ricky martin,livin' la vida loca,Latin
kodak black,heart mind,Latin
maluma,11 pm,Latin
maluma,borro cassette,Latin
rauw alejandro,el efecto,Latin
rauw alejandro,panties y brasieres,Latin
arcángel,tu no vive asi (feat. mambo kingz & dj luian),Latin
sebastian yatra,dos oruguitas,Latin
natti natasha,criminal,Latin
bad bunny,ni bien ni mal,Latin
j balvin,mi gente,Latin
yandel,te gusta,Latin
maluma,sobrio,Latin
nio garcia,am remix,Latin
calle 13,atrévete-te-te,Latin
rauw alejandro,pensándote,Latin
rauw alejandro,desenfocao',Latin
el alfa,helicoptero,Latin
ryan castro,malory,Latin
don omar,guaya guaya,Latin
rauw alejandro,la old skul,Latin
yandel,cuando te toca,Latin
nicky jam,el perdón (with enrique iglesias),Latin
ozuna,el farsante,Latin
mora,rápido,Latin
luis fonsi,despacito - remix,Latin
sech,foto en panty,Latin
shakira,chantaje (feat. maluma),Latin
jory boy,no te hagas,Latin
quevedo,vista al mar,Latin
nicky jam,hasta el amanecer,Latin
mon laferte,mi buen amor,Latin
karol g,tusa,Latin
rauw alejandro,reloj,Latin
piso 21,te vi,Latin
tony dize,permitame,Latin
anuel aa,china,Latin
maná,rayando el sol,Latin
mora,512,Latin
karol g,bichota,Latin
bia,whole lotta money (feat. nicki minaj) - remix,Latin
el alfa,singapur,Latin
nicky jam,x,Latin
justin quiles,en bajita,Latin
mora,modelito,Latin
piso 21,los cachos,Latin
enrique iglesias,i like it,Latin
ryan castro,monastery,Latin
maluma,hawái - remix,Latin
wisin & yandel,noche de sexo,Latin
yandel,canción con yandel,Latin
gente de zona,la gozadera (feat. marc anthony),Latin
aitana,los ángeles,Latin
ozuna,tú foto,Latin
rauw alejandro,lejos del cielo,Latin
bad bunny,que malo,Latin
rauw alejandro,fantasias,Latin
sebastian yatra,una noche sin pensar,Latin
shakira,try everything,Latin
ozuna,caramelo - remix,Latin
rauw alejandro,dile a el,Latin
bad bunny,soliá,Latin
aventura,los infieles,Latin
rauw alejandro,sexo virtual,Latin
maná,clavado en un bar,Latin
eladio carrion,kemba walker,Latin
natti natasha,algarete,Latin
bizarrap,"eladio carrion: bzrp music sessions, vol. 40",Latin
rauw alejandro,2/catorce,Latin
rauw alejandro,gatas,Latin
j balvin,qué más pues?,Latin
manuel turizo,los cachos,Latin
ozuna,vaina loca,Latin
polimá westcoast,ultra solo remix,Latin
de la ghetto,sensacion del bloque,Latin
romeo santos,bella y sensual,Latin
anuel aa,sola (remix),Latin
mon laferte,tu falta de querer,Latin
rels b,cómo dormiste?,Latin
jhayco,ley seca,Latin
romeo santos,la diabla,Latin
don omar,dale don dale,Latin
romeo santos,solo conmigo,Latin
eladio carrion,si salimos,Latin
j balvin,bonita,Latin
kodak black,already,Latin
rauw alejandro,corazón despeinado,Latin
maluma,felices los 4,Latin
elvis crespo,suavemente,Latin
karol g,a ella,Latin
myke towers,si se da - remix,Latin
shakira,la tortura (feat. alejandro sanz),Latin
karol g,bichota,Latin
anuel aa,quiere beber,Latin
aventura,enseñame a olvidar,Latin
juanes,es por ti,Latin
maluma,la reina,Latin
arcángel,pa' que la pases bien,Latin
romeo santos,me extraño,Latin
daddy yankee,la despedida,Latin
romeo santos,llévame contigo,Latin
baby bash,cyclone (feat. t-pain) - main,Latin
alejo,location,Latin
prince royce,stand by me,Latin
romeo santos,siri,Latin
ozuna,una locura,Latin
eladio carrion,¿qué carajos quieres tú ahora?,Latin
dj luian,la ocasión,Latin
eladio carrion,padre tiempo,Latin
alejandro fernández,me dediqué a perderte,Latin
luar la l,caile,Latin
luis miguel,la media vuelta,Latin
angel y khriz,ven bailalo - reggaeton mix,Latin
jhayco,esta dejá,Latin
jhayco,no me conoce - remix,Latin
plan b,¿por que te demoras?,Latin
jhayco,en la de ella,Latin
jhayco,ley seca,Latin
jhayco,cómo se siente - remix,Latin
jhayco,somos iguales,Latin
rauw alejandro,dime quién????,Latin
jhayco,como se siente,Latin
jhayco,cómo se siente - remix,Latin
jhayco,cómo se siente - remix,Latin
jhayco,no me conoce - remix,Latin
jhayco,no me conoce - remix,Latin
jhayco,cuando bebe,Latin
jhayco,cómo se siente - remix,Latin
jhayco,deseos - remix,Latin
jhayco,en mi cuarto,Latin
jhayco,ley seca,Latin
jhayco,imaginaste - remix,Latin
aventura,por un segundo,Latin
jhayco,imaginaste - remix,Latin
jhayco,somos iguales,Latin
jhayco,imaginaste,Latin
jhayco,deseos - remix,Latin
natti natasha,la mejor versión de mi - remix,Latin
lunay,soltera - remix,Latin
bad bunny,25/8,Latin
carlos baute,colgando en tus manos (con marta sánchez),Latin
maná,bendita tu luz,Latin
don omar,virtual diva,Latin
prince royce,el amor que perdimos,Latin
bad bunny,pa ti,Latin
eladio carrion,3 am,Latin
camila,mientes,Latin
sech,otro trago - remix,Latin
eladio carrion,mbappé - remix,Latin
myke towers,bandido,Latin
zion & lennox,otra vez (feat. j balvin),Latin
julieta venegas,me voy,Latin
myke towers,piensan,Latin
bacilos,caraluna,Latin
de la ghetto,loco por perrearte - remix,Latin
angel y khriz,na de na,Latin
quevedo,playa del inglés,Latin
arcángel,la ruta,Latin
kodak black,walk,Latin
justin quiles,la esquina del mall,Latin
daddy yankee,noche de entierro,Latin
chino & nacho,niña bonita,Latin
karol g,ahora me llama,Latin
eladio carrion,peso a peso,Latin
sech,relación - remix,Latin
wisin,escápate conmigo (feat. ozuna),Latin
bad bunny,solo de mi,Latin
daddy yankee,limbo,Latin
romeo santos,el pañuelo,Latin
chris jedi,ahora dice,Latin
don omar,ojitos chiquitos,Latin
luis miguel,la incondicional,Latin
mora,memorias,Latin
"héctor ""el father""",el telefono,Latin
eladio carrion,friends - remix,Latin
bad bunny,120,Latin
feid,friki,Latin
rauw alejandro,no me sueltes,Latin
romeo santos,cancioncitas de amor,Latin
bad bunny,ignorantes,Latin
ryan castro,jordan,Latin
bad bunny,te deseo lo mejor,Latin
arcángel,infeliz,Latin
danna paola,1trago,Latin
ovi,poco a poco,Latin
eladio carrion,hola como vas,Latin
maluma,mojando asientos (feat. feid),Latin
wisin & yandel,ahora es,Latin
daddy yankee,llamado de emergencia,Latin
feid,friki,Latin
j balvin,si tu novio te deja sola,Latin
maná,en el muelle de san blas,Latin
franco de vita,tú de qué vas,Latin
anuel aa,mejor que yo,Latin
maluma,junio,Latin
maná,mi verdad (feat. shakira),Latin
maluma,hawái,Latin
j balvin,un dia (one day) (feat. tainy),Latin
ozuna,la single,Latin
camilo,la mitad,Latin
blessd,medallo,Latin
jerry di,mi cuarto,Latin
piso 21,déjala que vuelva (feat. manuel turizo),Latin
j balvin,ay vamos,Latin
don omar,bandoleros,Latin
don omar,hooka,Latin
becky g,bubalu,Latin
rauw alejandro,elegí (feat. dímelo flow),Latin
becky g,mal de amores,Latin
shakira,can't remember to forget you (feat. rihanna),Latin
j balvin,como un bebé,Latin
anuel aa,la máquina,Latin
daddy yankee,no me dejes solo,Latin
maluma,hp,Latin
ricardo arjona,fuiste tú (feat. gaby moreno),Latin
myke towers,girl,Latin
becky g,shower,Latin
wisin & yandel,sexy movimiento,Latin
becky g,shower,Latin
becky g,shower,Latin
don omar,hasta abajo,Latin
don omar,dale don dale,Latin
anuel aa,el nene,Latin
don omar,ojitos chiquitos,Latin
don omar,dutty love,Latin
don omar,hooka,Latin
don omar,perdido en tus ojos,Latin
don omar,dile,Latin
don omar,pobre diabla,Latin
don omar,dale don dale,Latin
don omar,virtual diva,Latin
farruko,pepas,Latin
don omar,dutty love,Latin
don omar,salió el sol,Latin
tini,muñecas,Latin
"héctor ""el father""",noche de travesura,Latin
daddy yankee,bombón,Latin
fuego,una vaina loca,Latin
juanes,la camisa negra,Latin
nelly furtado,i'm like a bird,Latin
daddy yankee,de vuelta pa' la vuelta,Latin
justin quiles,whiskey y coco,Latin
danny ocean,me rehúso,Latin
carlos vives,robarte un beso,Latin
ozuna,el farsante - remix,Latin
café tacvba,eres,Latin
bad bunny,sensualidad,Latin
zion,more,Latin
cnco,reggaetón lento (bailemos),Latin
reik,ya me enteré,Latin
j balvin,azul,Latin
bizarrap,"villano antillano: bzrp music sessions, vol. 51",Latin
pedro capó,calma - remix,Latin
bad bunny,sorry papi,Latin
luis enrique,yo no sé mañana,Latin
la quinta estacion,el sol no regresa,Latin
carlos vives,la bicicleta,Latin
romeo santos,mi santa (feat. tomatito),Latin
mora,tuyo,Latin
eladio carrion,betty,Latin
tokischa,linda,Latin
wisin & yandel,vapor,Latin
enrique iglesias,loco,Latin
quevedo,playa del inglés,Latin
shakira,can't remember to forget you (feat. rihanna),Latin
jesse & joy,¡corre!,Latin
lunay,nuevo,Latin
maná,labios compartidos,Latin
bad bunny,está cabrón ser yo,Latin
jowell & randy,copas,Latin
kodak black,don't wanna breathe,Latin
tego calderón,punto y aparte,Latin
becky g,fulanito,Latin
wisin & yandel,aullando,Latin
fuego,una vaina loca,Latin
bad bunny,pero ya no,Latin
sebastian yatra,tacones rojos,Latin
carlos vives,"colombia, mi encanto",Latin
bad bunny,hoy cobré,Latin
romeo santos,bebo,Latin
kodak black,too many years,Latin
daddy yankee,hot,Latin
sech,911 (remix),Latin
juan gabriel,¿por qué me haces llorar?,Latin
